alpha2_code,alpha3_code,un_code,full_name,short_name
CN,CHN,156,People’s Republic of China,China
IN,IND,356,Republic of India,India
US,USA,840,United States of America,United States
ID,IDN,360,Republic of Indonesia,Indonesia
BR,BRA,76,Federative Republic of Brazil,Brazil
